pub_number,cit_number
US-2018169671-A1,US-2016059240-A1
US-2018239037-A1,US-2015331115-A1
US-2018254277-A1,US-2016181143-A1
US-2018175124-A1,US-9457369-B2
US-2018176944-A1,US-2015022324-A1
US-2018232002-A1,US-2014298949-A1
US-2019027170-A1,US-2015241865-A1
US-2018181427-A1,US-2014297842-A1
US-2018175124-A1,US-9365923-B2
US-2018231719-A1,US-9285543-B2
US-2018235338-A1,US-2014006614-A1
US-2018244516-A1,US-2014084396-A1
US-2018238457-A1,US-2015122359-A1
US-2018240887-A1,US-9590044-B2
US-2018250197-A1,US-2014250671-A1
US-2018233824-A1,US-2014016801-A1
US-2018173330-A1,US-2014026718-A1
US-2018170570-A1,US-9038954-B2
US-2018167728-A1,US-2012300960-A1
US-2018235338-A1,US-2013095898-A1
US-2018168812-A1,US-2012296441-A1
US-2018181427-A1,US-2013111470-A1
US-2018251290-A1,US-2012031791-A1
US-2018170320-A1,US-2013079733-A1
US-2018272709-A1,US-2013057622-A1
US-2018175068-A1,US-2012025316-A1
US-2018176063-A1,US-2011013583-A1
US-2018228612-A1,US-2012021531-A1
US-2018250197-A1,US-2009256038-A1
US-2018235338-A1,US-2013003718-A9
US-2018181427-A1,US-2010138475-A1
US-2018232613-A1,US-2010123581-A1
US-2018181427-A1,US-2011209145-A1
US-2018176648-A1,US-2010008872-A1
US-2018181427-A1,US-2007234337-A1
US-2019248493-A1,US-2007109802-A1
US-2018168819-A1,US-7445636-B2
US-2018264993-A1,US-7114837-B2
US-2018169671-A1,US-2004074993-A1
US-2018273233-A1,US-2004006084-A1
US-2018233305-A1,US-6753489-B2
US-2018174408-A1,US-2003067440-A1
US-2018198911-A1,US-2002009546-A1
US-2018161024-A1,US-6361488-B1
US-2018247854-A1,US-6149727-A
US-2018271642-A1,US-5964802-A
US-2018229217-A1,US-5504050-A
US-2018319717-A1,US-5030338-A
US-2018271642-A1,US-4833890-A
US-2018229894-A1,US-4560081-A
US-2018229136-A1,US-3775897-A
US-2019251832-A1,US-2018328753-A1
US-2019249413-A1,US-2016160515-A1
US-2018167914-A1,US-2018206260-A1
US-2018171606-A1,US-2015240962-A1
US-2018286132-A1,US-9538962-B1
US-2019063899-A1,US-2015185000-A1
US-2018232956-A1,US-2016240012-A1
US-2018167956-A1,US-2016183276-A1
US-2018164697-A1,US-2015007067-A1
US-2018174937-A1,US-2015014851-A1
US-2018177922-A1,US-2013323685-A1
US-2018275930-A1,US-2013329253-A1
US-2018163953-A1,US-2014204589-A1
US-2018232758-A1,US-2015032366-A1
US-2018167756-A1,US-2014233917-A1
US-2019123033-A1,US-2013012682-A1
US-2019080189-A1,US-2013336545-A1
US-2018161288-A1,US-2013009612-A1
US-2018284651-A1,US-2011229184-A1
US-2018167265-A1,US-2011067102-A1
US-2018167243-A1,US-2012256639-A1
US-2018231783-A1,US-2010022665-A1
US-2018232758-A1,US-2011060652-A1
US-2018174937-A1,US-8426985-B2
US-2019089646-A1,US-2009180477-A1
US-2018273780-A1,US-2010092669-A1
US-2018242421-A1,US-2009016718-A1
US-2018164617-A1,US-2008252835-A1
US-2018273780-A1,US-2008207820-A1
US-2019059177-A1,US-2008266796-A1
US-2018231864-A1,US-7903319-B2
US-2018235230-A1,US-2009105073-A1
US-2018166114-A1,US-2007091671-A1
US-2018164896-A1,US-2010026037-A1
US-2018221691-A1,US-2007014451-A1
US-2018193414-A1,US-2008028905-A1
US-2018162779-A1,US-2007029114-A1
US-2019026046-A1,US-2005166014-A1
US-2018162429-A1,US-2005076716-A1
US-2018174886-A1,US-2006030128-A1
US-2018248528-A1,US-2005000719-A1
US-2018162779-A1,US-2006015728-A1
US-2018162973-A1,US-7157531-B2
US-2018244064-A1,US-2004257410-A1
US-2018165242-A1,US-2005138261-A1
US-2018177922-A1,US-2011171320-A1
US-2018236362-A1,US-2003064660-A1
US-2018231864-A1,US-2003002132-A1
US-2018175156-A1,US-2002009862-A1
US-2018161082-A1,US-6355038-B1
US-2019093864-A1,US-5738436-A
US-2019204551-A1,US-5745297-A
US-2018162294-A1,US-5560175-A
US-2018161067-A1,US-4988349-A
US-10249964-B1,US-4924213-A
US-2018228137-A1,US-4522349-A
US-2018241463-A1,US-2009318137-A1
US-2018166983-A1,US-2008013351-A1
US-2018185692-A1,US-4456249-A
US-2018233691-A1,US-2018358573-A1
US-2018279223-A1,US-2018124744-A1
US-2019052789-A1,US-2018255616-A1
US-2018229110-A1,US-9597604-B1
US-2018172380-A1,US-2016013144-A1
US-2018234863-A1,US-2017019288-A1
US-2018161594-A1,US-2015180527-A1
US-2018228610-A1,US-9180005-B1
US-2019066412-A1,US-2017158169-A1
US-2019098189-A1,US-2016007741-A1
US-2019088872-A1,US-2015083988-A1
US-2018284842-A1,US-2016012446-A1
US-2018161312-A1,US-2014016303-A1
US-2018166391-A1,US-2014367857-A1
US-2018166337-A1,US-2014340900-A1
US-2018229109-A1,US-2014378024-A1
US-2018168503-A1,US-9005100-B2
US-2018180857-A1,US-8599495-B1
US-2018167928-A1,US-2014112158-A1
US-2018167980-A1,US-2013208668-A1
US-2018168017-A1,US-2013038236-A1
US-2018174914-A1,US-2013309838-A1
US-2018175151-A1,US-2014036779-A1
US-2018233180-A1,US-8718216-B2
US-2018174914-A1,US-2013026571-A1
US-2018166546-A1,US-2011244638-A1
US-2018169179-A1,US-2013330335-A1
US-2018247497-A1,US-2011255379-A1
US-2018165870-A1,US-2009132170-A1
US-2019250838-A1,US-2008052506-A1
US-2018231345-A1,US-7637256-B2
US-2018166297-A1,US-2007164414-A1
US-2018161140-A1,US-2006224242-A1
US-2018174914-A1,US-2008029821-A1
US-2018230723-A1,US-2006103278-A1
US-2018161066-A1,US-2004059331-A1
US-2018169179-A1,US-2004116339-A1
US-2018233180-A1,US-6744284-B2
US-2018167141-A1,US-2002043938-A1
US-2018229111-A1,US-2003019922-A1
US-2018262261-A1,US-2002057218-A1
US-2018229110-A1,US-2002010290-A1
US-2018223493-A1,US-6808337-B1
US-2018177571-A1,US-6299447-B1
US-2018177571-A1,US-6203325-B1
US-2018161344-A1,US-6060077-A
US-2018229059-A1,US-5383285-A
US-2018172380-A1,US-5274939-A
US-2018177571-A1,US-5098295-A
US-2018172380-A1,US-4594934-A
US-2018229059-A1,US-3674111-A
US-2018370746-A1,US-10167161-B2
US-2019243548-A1,US-2018307418-A1
US-2019246513-A1,US-2017215587-A1
US-2018221004-A1,US-2017031918-A1
US-2019244423-A1,US-10043309-B2
US-2018174956-A1,US-2017033000-A1
US-2018221004-A1,US-2016007402-A1
US-2018175892-A1,US-2016005654-A1
US-2018221004-A1,US-2017005604-A1
US-2018222629-A1,US-9731863-B2
US-2018167589-A1,US-2016033194-A1
US-2018232714-A1,US-2014231508-A1
US-2018233553-A1,US-2015062848-A1
US-2018226770-A1,US-2014160759-A1
US-2018183197-A1,US-9391417-B2
US-2018221004-A1,US-2015015054-A1
US-2018167353-A1,US-2014207835-A1
US-2018175632-A1,US-2015005434-A1
US-2018195529-A1,US-2015017660-A1
US-2018236797-A1,US-2013076831-A1
US-2019027538-A1,US-2013248801-A1
US-2018255656-A1,US-2014024085-A1
US-2018270966-A1,US-2013265698-A1
US-2018220782-A1,US-9179565-B2
US-2018166444-A1,US-2013001591-A1
US-2018221004-A1,US-2013000614-A1
US-2018167534-A1,US-2011176155-A1
US-2018161167-A1,US-2010204739-A1
US-2018221004-A1,US-2012002208-A1
US-2018155099-A1,US-2010027642-A1
US-2018234584-A1,US-2010231682-A1
US-2019241138-A1,US-2011182076-A1
US-2018155099-A1,US-8167166-B2
US-2018195529-A1,US-2009020833-A1
US-2018234637-A1,US-2009028465-A1
US-2018175207-A1,US-2008258140-A1
US-2018167660-A1,US-2008249859-A1
US-2018222744-A1,US-2007202628-A1
US-2018222629-A1,US-2007009337-A1
US-2018175892-A1,US-7379030-B1
US-2018160870-A1,US-7383609-B2
US-2018171319-A1,US-7294499-B2
US-2018221004-A1,US-2004013312-A1
US-2018233463-A1,US-2004023885-A1
US-2018245622-A1,US-6663114-B2
US-2019241222-A1,US-6659318-B2
US-2018244484-A1,US-2001010193-A1
US-2018158486-A1,US-6005678-A
US-2018239268-A1,US-5834564-A
US-2018178315-A1,US-5480501-A
US-2018221004-A1,US-5394887-A
US-2018255656-A1,US-5394306-A
US-2018224237-A1,US-4986250-A
US-2018167534-A1,US-4980759-A
US-2018175892-A1,US-4783665-A
US-2018288756-A1,US-2018030288-A1
US-2018240739-A1,US-2017162520-A1
US-2018227843-A1,US-2018013214-A1
US-2018248539-A1,US-2016056818-A1
US-2018163022-A1,US-2014198285-A1
US-2019220630-A1,US-2014233167-A1
US-2018175202-A1,US-2015162405-A1
US-2018277062-A1,US-2015124170-A1
US-2018226911-A1,US-9160255-B2
US-2018164985-A1,US-8656296-B1
US-2018167925-A1,US-2015007818-A1
US-2018177799-A1,US-2014348802-A1
US-2018231915-A1,US-2014007150-A1
US-2018167642-A1,US-2013023592-A1
US-2018367702-A1,US-8711432-B2
US-2018229132-A1,US-2013273805-A1
US-2018163022-A1,US-2012235099-A1
US-2018231580-A1,US-8839670-B2
US-2018230726-A1,US-2012227217-A1
US-2018330552-A1,US-8576222-B2
US-2019203919-A1,US-8425078-B2
US-2018164861-A1,US-2011038184-A1
US-2019230486-A1,US-2011281568-A1
US-2019052485-A1,US-2011242428-A1
US-2018223515-A1,US-2010205731-A1
US-2018223516-A1,US-2010205731-A1
US-2018226036-A1,US-2010020265-A1
US-2018167100-A1,US-2010188243-A1
US-2018167910-A1,US-2011007700-A1
US-2018226582-A1,US-2009026641-A1
US-2018223514-A1,US-8603257-B2
US-2018167642-A1,US-2009023220-A1
US-2018271573-A1,US-2009149890-A1
US-2018224458-A1,US-2008108065-A1
US-2019020624-A1,US-2008271109-A1
US-2018161494-A1,US-2007167912-A1
US-2018168858-A1,US-2007055328-A1
US-2018271301-A1,US-2008007938-A1
US-2018161573-A1,US-2007000399-A1
US-2018175704-A1,US-2008309174-A1
US-2018248300-A1,US-7347730-B2
US-2018191867-A1,US-2007011271-A1
US-2018224458-A1,US-2007254286-A1
US-2018166466-A1,US-2007236625-A1
US-2018261232-A1,US-2007088542-A1
US-2018232017-A1,US-7410194-B2
US-2018185595-A1,US-2007113843-A1
US-2018162604-A1,US-2009010800-A1
US-2018222664-A1,US-2006000481-A1
US-2018168858-A1,US-7758623-B2
US-2018174899-A1,US-2005082089-A1
US-2018177589-A1,US-2004016981-A1
US-2018226216-A1,US-2003031599-A1
US-2018296463-A1,US-8128911-B2
US-2018185595-A1,US-6058932-A
US-2018161196-A1,US-5785053-A
US-2019239486-A1,US-4494528-A
US-10370846-B1,US-4389190-A
US-2018249138-A1,US-2017339381-A1
US-2018255317-A1,US-2017302719-A1
US-2019244456-A1,US-2017018956-A1
US-2018240715-A1,US-2018090504-A1
US-2018234563-A1,US-2017026530-A1
US-2018158735-A1,US-2016172203-A1
US-2018158735-A1,US-2016013378-A1
US-2018356687-A1,US-2017227705-A1
US-2018223927-A1,US-9664244-B2
US-2018170541-A1,US-2016340028-A1
US-2018165542-A1,US-2016006862-A1
US-2018166532-A1,US-2016190250-A1
US-2018223338-A1,US-2015153566-A1
US-2018179410-A1,US-2015001738-A1
US-2018171925-A1,US-2015354492-A1
US-2018234581-A1,US-9497337-B2
US-2018233629-A1,US-9830934-B2
US-2018261594-A1,US-9023692-B2
US-2018260505-A1,US-2015007124-A1
US-2018165178-A1,US-2014282406-A1
US-2018163931-A1,US-9000668-B2
US-2018227696-A1,US-2014133683-A1
US-2018356687-A1,US-2013100704-A1
US-2018308950-A1,US-2014183580-A1
US-2018183481-A1,US-2012261289-A1
US-2018169956-A1,US-2013316149-A1
US-2018294278-A1,US-8614917-B2
US-2018262149-A1,US-9493092-B2
US-2018248285-A1,US-8721350-B2
US-2018165014-A1,US-2012072680-A1
US-2018158739-A1,US-2011134683-A1
US-2018231110-A1,US-2012095447-A1
US-2018270097-A1,US-2010091825-A1
US-2018162963-A1,US-2011026375-A1
US-2018163583-A1,US-2010108006-A1
US-2018167750-A1,US-2010048982-A1
US-2018233355-A1,US-2010295029-A1
US-2018165542-A1,US-2009013093-A1
US-2018231110-A1,US-2009270862-A1
US-2018250965-A1,US-2008003038-A1
US-2018193497-A1,US-7815923-B2
US-2018227571-A1,US-2009238449-A1
US-2019008637-A1,US-2009222076-A1
US-2018223927-A1,US-7568561-B2
US-2018193497-A1,US-2006159664-A1
US-2018272706-A1,US-2006009220-A1
US-2018164052-A1,US-2006118282-A1
US-2018160697-A1,US-2006115556-A1
US-2018283305-A1,US-6910449-B2
US-2018222454-A1,US-6364432-B1
US-2018158355-A1,US-6527556-B1
US-2018238802-A1,US-6472671-B1
US-2018165542-A1,US-6221832-B1
US-2018165542-A1,US-6162777-A
US-2018233843-A1,US-6186810-B1
US-2018158467-A1,US-6496581-B1
US-2018166669-A1,US-5523178-A
US-2018160697-A1,US-4725427-A
US-2018257547-A1,US-2018025360-A1
US-2018158417-A1,US-2017352311-A1
US-2018240697-A1,US-2017271194-A1
US-2018222207-A1,US-2017027465-A1
US-2018307129-A1,US-9653642-B1
US-2018159477-A1,US-2015340996-A1
US-2018226736-A1,US-2016010497-A1
US-2018227945-A1,US-2018004920-A1
US-2018247943-A1,US-2015126013-A1
US-2018176126-A1,US-2014348214-A1
US-2018158504-A1,US-2015170728-A1
US-2018158504-A1,US-9190139-B2
US-2018226549-A1,US-2014362570-A1
US-2018287757-A1,US-2014269460-A1
US-2018331619-A1,US-2014218000-A1
US-2019240737-A1,US-2015224581-A1
US-2018277722-A1,US-2015207043-A1
US-2018173102-A1,US-2015179401-A1
US-2018158726-A1,US-2015030314-A1
US-2018240775-A1,US-2013256915-A1
US-2018226536-A1,US-2013000150-A1
US-2018372438-A1,US-8844422-B1
US-2018160519-A1,US-2013032640-A1
US-2018239081-A1,US-2012327682-A1
US-2019148416-A1,US-2012225543-A1
US-2018160392-A1,US-2013097710-A1
US-2018227777-A1,US-2014029394-A1
US-2018157144-A1,US-2012081777-A1
US-2018352145-A1,US-2013057713-A1
US-2018224595-A1,US-2012002130-A1
US-2018224951-A1,US-2012327042-A1
US-2018158932-A1,US-2011008930-A1
US-2018221053-A1,US-2010240960-A1
US-2018157144-A1,US-2010017201-A1
US-2018153642-A1,US-2011143308-A1
US-2018227670-A1,US-2011019836-A1
US-2018325192-A1,US-2010192269-A1
US-2018221053-A1,US-2009192466-A1
US-2018230346-A1,US-2010256322-A1
US-2018158985-A1,US-2009278141-A1
US-2018176126-A1,US-2010215118-A1
US-2018159964-A1,US-2009175353-A1
US-2018303208-A1,US-8499582-B1
US-2018230346-A1,US-2008081883-A1
US-2018286952-A1,US-2008030311-A1
US-2018354944-A1,US-2008038251-A1
US-2018220789-A1,US-2008074343-A1
US-2018286952-A1,US-2009030237-A1
US-2018183470-A1,US-2007071071-A1
US-2018286952-A1,US-2009032181-A1
US-2018159034-A1,US-2008272389-A1
US-2018286952-A1,US-2007017744-A1
US-2018226041-A1,US-7414671-B1
US-2018159659-A1,US-2006268726-A1
US-2018172526-A1,US-7544627-B2
US-2018226736-A1,US-7884630-B2
US-2018230346-A1,US-2006182956-A1
US-2018222192-A1,US-2004141061-A1
US-2018153764-A1,US-6733438-B1
US-2018158510-A1,US-2002100920-A1
US-2018221756-A1,US-2002017546-A1
US-2018160259-A1,US-2003009281-A1
US-2018222193-A1,US-6742883-B1
US-2018221756-A1,US-5653444-A
US-2018153764-A1,US-5377701-A
US-2018136905-A1,US-4833655-A
US-2018171213-A1,US-4614236-A
US-2018226736-A1,US-4009921-A
US-2018136905-A1,US-4090256-A
US-2018256230-A1,US-3579831-A
US-2018155178-A1,US-5487493-A
US-2018278467-A1,US-2018006770-A1
US-2019041570-A1,US-2018188442-A1
US-2018247177-A1,US-2017092090-A1
US-2018220134-A1,US-2018302557-A1
US-2018337328-A1,US-2017098759-A1
US-2018373460-A1,US-2016335144-A1
US-2018226058-A1,US-2016267878-A1
US-2018219609-A1,US-2016135059-A1
US-2018247613-A1,US-2016003513-A1
US-2018226249-A1,US-2016152481-A1
US-2018235643-A1,US-2015088200-A1
US-2018157009-A1,US-2015034646-A1
US-2018154923-A1,US-2015037577-A1
US-2018227679-A1,US-2015028906-A1
US-2019015147-A1,US-2016015792-A1
US-2018157009-A1,US-2016017018-A1
US-2018227851-A1,US-2015223284-A1
US-2018229314-A1,US-9272341-B2
US-2018278318-A1,US-2013271322-A1
US-2018233026-A1,US-2013278421-A1
US-2018226941-A1,US-9118396-B2
US-2018227684-A1,US-2013343584-A1
US-2019041570-A1,US-8953926-B1
US-2018223150-A1,US-2014015835-A1
US-2018220780-A1,US-8496143-B1
US-2018226337-A1,US-2012080792-A1
US-2018174428-A1,US-2012206296-A1
US-2018227684-A1,US-8711656-B1
US-2018157567-A1,US-2012022190-A1
US-2018169138-A1,US-2010040086-A1
US-2018225624-A1,US-2009160674-A1
US-2018234055-A1,US-2009108681-A1
US-2018227679-A1,US-2008268776-A1
US-2018158282-A1,US-2008010841-A1
US-2018219518-A1,US-7941210-B2
US-2018156543-A1,US-2007008459-A1
US-2018229377-A1,US-7721424-B2
US-2019041570-A1,US-2006227546-A1
US-2018156723-A1,US-2006024057-A1
US-2018229314-A1,US-2005183562-A1
US-2018226966-A1,US-2003038615-A1
US-2018154646-A1,US-2002109761-A1
US-2018159262-A1,US-6443766-B2
US-2018217183-A1,US-2002063212-A1
US-2018156543-A1,US-6634421-B2
US-2018158286-A1,US-2002082077-A1
US-2018154244-A1,US-5947495-A
US-2018220780-A1,US-5975389-A
US-2018158511-A1,US-5715191-A
US-2019244662-A1,US-5586073-A
US-2018155923-A1,US-5072558-A
US-2018154217-A1,US-4752067-A
US-2018216913-A1,US-4689887-A
US-2018156543-A1,US-4624305-A
US-2019011090-A1,US-2017339763-A1
US-2018153561-A1,US-2015157357-A1
US-2018154908-A1,US-2015162762-A1
US-2018215480-A1,US-9291337-B1
US-2019235967-A1,US-9720783-B1
US-2018286604-A1,US-2014339065-A1
US-2018241670-A1,US-2016080263-A1
US-2018157187-A1,US-2014004511-A1
US-2018216554-A1,US-2013327285-A1
US-2018220557-A1,US-2015007796-A1
US-2019238715-A1,US-2014118764-A1
US-2019237135-A1,US-2012170388-A1
US-2018227822-A1,US-2013090115-A1
US-2018222210-A1,US-2012044313-A1
US-2019137244-A1,US-2012011121-A1
US-2018220557-A1,US-8822844-B1
US-2018167292-A1,US-2011031401-A1
US-2018157187-A1,US-2011005288-A1
US-2018249798-A1,US-8434601-B2
US-2018160162-A1,US-2011142417-A1
US-2018157187-A1,US-2012018995-A1
US-2019095098-A1,US-7876626-B2
US-2018220345-A1,US-2010240367-A1
US-2018155073-A1,US-2008302253-A1
US-2018196953-A1,US-2009183257-A1
US-2018154908-A1,US-2008017798-A1
US-2018154658-A1,US-2008007979-A1
US-2018154592-A1,US-2009003219-A1
US-2018216647-A1,US-7955392-B2
US-2018154908-A1,US-2007075919-A1
US-2018158293-A1,US-2007241922-A1
US-2018220540-A1,US-7688624-B2
US-2018223478-A1,US-7390760-B1
US-2018158475-A1,US-2005162786-A1
US-2018158738-A1,US-2004071030-A1
US-2018154592-A1,US-2004006941-A1
US-2019231058-A1,US-2002185509-A1
US-2019231058-A1,US-6283345-B1
US-2019237474-A1,US-5675176-A
US-2018158110-A1,US-5555346-A
US-2018191099-A1,US-4441776-A
US-2019234170-A1,US-4437643-A
US-2018155523-A1,US-3953218-A
US-2018191099-A1,US-3611255-A
US-2019235487-A1,US-2018225769-A1
US-2019235171-A1,US-2017205583-A1
US-2019239235-A1,US-2018123751-A1
US-2019044762-A1,US-9712257-B1
US-2019044766-A1,US-2018278440-A1
US-2018149831-A1,US-2017077166-A1
US-2019234234-A1,US-2018195400-A1
US-2019033217-A1,US-2017370828-A1
US-2018160264-A1,US-2018069817-A1
US-2018160262-A1,US-2018069817-A1
US-2018219341-A1,US-2016270165-A1
US-2018215161-A1,US-2016288511-A1
US-2018234590-A1,US-2016266512-A1
US-2019051114-A1,US-2016049037-A1
US-2018279484-A1,US-2015340333-A1
US-2019148520-A1,US-2016308027-A1
US-2018350818-A1,US-2015294923-A1
US-2019234234-A1,US-2016312631-A1
US-2018218774-A1,US-2015262682-A1
US-2019096883-A1,US-2015318281-A1
US-2018220506-A1,US-2016069585-A1
US-2018153031-A1,US-2015282392-A1
US-2019234218-A1,US-2016010463-A1
US-2018154633-A1,US-2016001558-A1
US-2019162901-A1,US-2014036312-A1
US-2018272937-A1,US-2014340516-A1
US-2018216792-A1,US-2013223067-A1
US-2018364925-A1,US-9319067-B2
US-2019234236-A1,US-2015030461-A1
US-2019013078-A1,US-8817535-B1
US-2018174889-A1,US-2013244387-A1
US-2019237935-A1,US-2014009952-A1
US-2019237312-A1,US-2014015152-A1
US-2019013078-A1,US-2012081959-A1
US-2018213027-A1,US-2013276094-A1
US-2019234283-A1,US-8518354-B2
US-2018288301-A1,US-2013070121-A1
US-2019239368-A1,US-8680394-B2
US-2018157719-A1,US-2010333162-A1
US-2018245406-A1,US-8555981-B2
US-2018221717-A1,US-7914405-B1
US-2018153652-A1,US-2010279243-A1
US-2018176170-A1,US-2010017484-A1
US-2019236204-A1,US-2010011488-A1
US-2018261245-A1,US-8043733-B2
US-2018148682-A1,US-2008145577-A1
US-2018149940-A1,US-2010141849-A1
US-2018221660-A1,US-7809442-B2
US-2018217495-A1,US-2011141428-A1
US-2019238446-A1,US-8918537-B1
US-2018222725-A1,US-7857115-B2
US-2019164957-A1,US-2008007908-A1
US-2018303420-A1,US-2007010614-A1
US-2018155669-A1,US-2007026381-A1
US-2018147064-A1,US-2006142859-A1
US-2018147058-A1,US-2007282436-A1
US-2018180989-A1,US-7741221-B2
US-2018159488-A1,US-2008012639-A1
US-2018312065-A1,US-7721855-B2
US-2018154977-A1,US-2005127636-A1
US-2018275489-A1,US-2005088624-A1
US-2018147064-A1,US-2005049590-A1
US-2018251055-A1,US-2006123722-A1
US-2018213027-A1,US-2004255015-A1
US-2018225257-A1,US-2004010701-A1
US-2018286432-A1,US-2004015265-A1
US-2018148895-A1,US-6887350-B2
US-2018218204-A1,US-2002166437-A1
US-2018150428-A1,US-6819271-B2
US-2018174978-A1,US-2002062787-A1
US-2018156876-A1,US-6075361-A
US-2019235171-A1,US-5703980-A
US-2018216342-A1,US-6053588-A
US-2019233191-A1,US-5655843-A
US-2018215518-A1,US-5579916-A
US-2018153656-A1,US-5474446-A
US-2018248291-A1,US-5263882-A
US-2018216604-A1,US-5306979-A
US-2018222725-A1,US-5184710-A
US-2018266047-A1,US-4307834-A
US-2019239355-A1,US-2018366059-A1
US-2018269202-A1,US-2018190649-A1
US-2019067040-A1,US-2018158708-A1
US-2018174411-A1,US-2016379455-A1
US-2018220400-A1,US-2017019915-A1
US-2019067150-A1,US-2018315769-A1
US-2018161156-A1,US-2016015115-A1
US-2018270456-A1,US-2015342091-A1
US-2018222189-A1,US-2015258792-A1
US-2018351055-A1,US-2015145406-A1
US-2019234292-A1,US-9611781-B2
US-2019234007-A1,US-2014163388-A1
US-2018226048-A1,US-2015026427-A1
US-2018219070-A1,US-2015035051-A1
US-2018157610-A1,US-2014282967-A1
US-2018176963-A1,US-2015049635-A1
US-2018175631-A1,US-8947047-B2
US-2018217414-A1,US-8873131-B2
US-2018215551-A1,US-9469035-B2
US-2018158816-A1,US-2013005683-A1
US-2018356025-A1,US-2013009526-A1
US-2018237944-A1,US-2013200495-A1
US-2018237944-A1,US-2013270575-A1
US-2018220078-A1,US-2011317031-A1
US-2018177051-A1,US-2011255209-A1
US-2018175240-A1,US-2011136273-A1
US-2019237910-A1,US-8105112-B2
US-2018225070-A1,US-2011019963-A1
US-2018158759-A1,US-2011241195-A1
US-2018175062-A1,US-2010163922-A1
US-2018153655-A1,US-2010062387-A1
US-2018160962-A1,US-2011023073-A1
US-10249146-B1,US-2011020752-A1
US-2019067150-A1,US-2010127347-A1
US-2018255030-A1,US-2010017596-A1
US-2018351055-A1,US-2010041169-A1
US-2018219332-A1,US-7976317-B2
US-2018219332-A1,US-8435047-B2
US-2018331430-A1,US-2008252530-A1
US-2018246691-A1,US-2007253029-A1
US-2018331430-A1,US-2008106473-A1
US-2018168704-A1,US-7695473-B2
US-2019237644-A1,US-2007145892-A1
US-2018153188-A1,US-2007011422-A1
US-2018227351-A1,US-2006026067-A1
US-2018223951-A1,US-7980979-B2
US-2018226361-A1,US-2005093153-A1
US-2018158759-A1,US-2004207064-A1
US-2018177641-A1,US-7024013-B1
US-2018217057-A1,US-2005067569-A1
US-2018331430-A1,US-2004246182-A1
US-2019234271-A1,US-6935103-B2
US-2019102166-A1,US-2003061602-A1
US-2018228021-A1,US-2002137373-A1
US-2018172398-A1,US-6761294-B2
US-2018331430-A1,US-6515629-B1
US-2018284552-A1,US-2001019392-A1
US-2018158521-A1,US-5973985-A
US-2018176681-A1,US-6236731-B1
US-2018242216-A1,US-6088591-A
US-2018156994-A1,US-5434941-A
US-2018217473-A1,US-5329397-A
US-2018214330-A1,US-4813088-A
US-2018320636-A1,US-4724812-A
US-2018156994-A1,US-4166668-A
US-2018194548-A1,US-3788683-A
US-2018153151-A1,US-3578282-A
US-2019238680-A1,US-2018205828-A1
US-2018282325-A1,US-2018021316-A1
US-2018217449-A1,US-2017337885-A1
US-2019237363-A1,US-2017186849-A1
US-2018233049-A1,US-2017291545-A1
US-2018224837-A1,US-2016260161-A1
US-2019067353-A1,US-9986186-B2
US-2019239338-A1,US-9775231-B2
US-2018231232-A1,US-2016077414-A1
US-2018163463-A1,US-2016026527-A1
US-2019096951-A1,US-2016363673-A1
US-2018192346-A1,US-2015264699-A1
US-2019237363-A1,US-2016043186-A1
US-2018163469-A1,US-9548598-B2
US-2018150881-A1,US-2015163302-A1
US-2018227449-A1,US-2014253936-A1
US-2018151781-A1,US-2015020033-A1
US-2018216795-A1,US-2013201709-A1
US-2018163463-A1,US-2015013633-A1
US-2018150254-A1,US-2014181558-A1
US-2018164276-A1,US-2013166002-A1
US-2019067353-A1,US-2013127003-A1
US-2018233931-A1,US-2013006509-A1
US-2018154773-A1,US-8672066-B2
US-2018151186-A1,US-2014133683-A1
US-2019236919-A1,US-2012273630-A1
US-2018272768-A1,US-2012240803-A1
US-2018151097-A1,US-9514661-B2
US-2018151951-A1,US-2012056796-A1
US-2018151377-A1,US-2012024175-A1
US-2018151905-A1,US-2011023353-A1
US-2018151391-A1,US-2011031615-A1
US-2018219548-A1,US-8295022-B2
US-2019239338-A1,US-2011011637-A1
US-2018147608-A1,US-8042558-B2
US-2018151724-A1,US-2009101990-A1
US-2018152419-A1,US-9251193-B2
US-2018164228-A1,US-2008068593-A1
US-2018152107-A1,US-2009066307-A1
US-2018214044-A1,US-2009264781-A1
US-2018219121-A1,US-2008305560-A1
US-2018151391-A1,US-7959085-B2
US-2018151789-A1,US-2008006837-A1
US-2018158990-A1,US-2007181869-A1
US-2018154671-A1,US-2008023351-A1
US-2018218247-A1,US-2006159307-A1
US-2018151815-A1,US-2006023812-A1
US-2018151313-A1,US-2008164133-A1
US-2018230473-A1,US-2005084712-A1
US-2019096951-A1,US-2005040440-A1
US-2018215613-A1,US-2004256226-A1
US-2018147053-A1,US-2005137690-A1
US-2018165684-A1,US-7689459-B2
US-2018194983-A1,US-2007142234-A1
US-2019234420-A1,US-7575417-B2
US-2018148839-A1,US-2004067641-A1
US-2018214249-A1,US-2004013996-A1
US-2018151789-A1,US-6982218-B2
US-2018151905-A1,US-2001002897-A1
US-2018214255-A1,US-6174516-B1
US-2018214044-A1,US-6187032-B1
US-2018214249-A1,US-5885290-A
US-2018214786-A1,US-5816882-A
US-2018261980-A1,US-5739543-A
US-2019233095-A1,US-5059094-A
US-2018215255-A1,US-4283968-A
